,SMILES,Catalog ID,MW,MW (desalted),ClogP,logS,HBD,HBA,TPSA,RotBonds,AnalogsFromREAL,mol,QED
0,O=C(NC1=NC(=NS1)C=2C=CC=CC2)C=3C(F)=CC=CC3Br,Z1343597788,378.22,378.22,3.017,-7.078,1,3,54.88,4,https://real.enamine.net/public-enum-files/Z1343597788,<rdkit.Chem.rdchem.Mol object at 0x15fdd4820>,0.7370203483893217
1,CC1CC=2C=CC=CC2N1C(=O)C=3C=CN(N3)C=4C=CC(F)=CC4,Z391927422,321.349,321.349,3.646,-4.672,0,2,38.13,3,https://real.enamine.net/public-enum-files/Z391927422,<rdkit.Chem.rdchem.Mol object at 0x15fdd4890>,0.7231105217569636
2,CC=1C=CC(=CC1)C=2N=NN(CC(=O)NC=3C=CC=CC3OCC(F)(F)F)N2,Z241875964,391.348,391.348,3.408,-5.779,1,5,81.93,7,https://real.enamine.net/public-enum-files/Z241875964,<rdkit.Chem.rdchem.Mol object at 0x15fdd4900>,0.6977644030511676
3,FC=1C=CC=C(C1)NCC2=NC(=NO2)C3=CC=CO3,Z297575978,259.236,259.236,2.37,-3.198,1,3,64.09,4,https://real.enamine.net/public-enum-files/Z297575978,<rdkit.Chem.rdchem.Mol object at 0x15fdd4970>,0.7795748546399626
4,CC=1C=CC=CC1NC(=O)C2CCCN2C3=NC=CS3,Z391936202,287.382,287.382,2.052,-3.989,1,3,45.23,3,https://real.enamine.net/public-enum-files/Z391936202,<rdkit.Chem.rdchem.Mol object at 0x15fdd49e0>,0.9433783645400271
5,COC=1C=CC(F)=CC1C2=CSC(=N2)NC(=O)C=3C=C(F)C=C(F)C3,Z424345186,364.343,364.343,3.987,-6.257,1,3,51.22,4,https://real.enamine.net/public-enum-files/Z424345186,<rdkit.Chem.rdchem.Mol object at 0x15fdd4a50>,0.7421975429401189
7,CC1=NN(C(C)=C1CC(=O)NC=2C=C(F)C=CC2F)C=3C=CC(Cl)=CC3,Z441692534,375.8,375.8,4.024,-4.633,1,2,46.92,4,https://real.enamine.net/public-enum-files/Z441692534,<rdkit.Chem.rdchem.Mol object at 0x15fdd4b30>,0.7239076763581931
8,NC(=O)NC=1C=CC(=CC1)NC(=O)C=2C=CN(N2)C=3C=CC(F)=CC3,Z383135752,339.325,339.325,1.986,-4.254,3,3,102.04,6,https://real.enamine.net/public-enum-files/Z383135752,<rdkit.Chem.rdchem.Mol object at 0x15fdd4ba0>,0.6808526147115704
9,CN(CC=1C(F)=CC=CC1Cl)C(=O)C=2C=C(ON2)C=3C=CC=CC3,Z164832288,344.768,344.768,4.246,-5.462,0,2,46.34,4,https://real.enamine.net/public-enum-files/Z164832288,<rdkit.Chem.rdchem.Mol object at 0x15fdd44a0>,0.7040874934401216
10,CC1=CN=C(O1)C=2C=CC=C(C2)NC(=O)C=3C=CC4=C(C3)N=CN4C,Z1506034815,332.357,332.357,2.666,-4.192,1,3,72.95,3,https://real.enamine.net/public-enum-files/Z1506034815,<rdkit.Chem.rdchem.Mol object at 0x15fdd4c80>,0.619344754030515
12,CC=1C=CC(=CC1)C=2N=NN(CC(=O)C=3C=CC(Br)=CC3)N2,Z17746725,357.205,357.205,4.353,-5.66,0,4,60.67,4,,<rdkit.Chem.rdchem.Mol object at 0x15fdd4c10>,0.6725713732322097
13,O=C(CC=1C=NN(C1)C=2C=CC=CC2)NC=3C=CC=CC3N4C=CC=N4,Z444083726,343.383,343.383,3.184,-3.086,1,3,64.74,5,https://real.enamine.net/public-enum-files/Z444083726,<rdkit.Chem.rdchem.Mol object at 0x15fdd4dd0>,0.6049210507618273
16,CC(C)C=1C=CC=CC1NC(=O)CC=2C=CC=C3C=CC=NC23,Z222980380,304.386,304.386,3.113,-4.907,1,2,41.99,4,https://real.enamine.net/public-enum-files/Z222980380,<rdkit.Chem.rdchem.Mol object at 0x15fdd4f20>,0.7686084450474749
17,CN(C)C=1N=CC=CC1C(=O)NC2=NC=C(CC3=CC=C(F)C(Cl)=C3)S2,Z406660130,390.864,390.864,4.308,-5.35,1,4,58.12,5,https://real.enamine.net/public-enum-files/Z406660130,<rdkit.Chem.rdchem.Mol object at 0x15fdd4f90>,0.7074988919734903
