,molecule_chembl_id,canonical_smiles,pIC50,mol,is_lipinski,RotatableBonds,mw,logp,hbd,hba,TPSA,QED
3,CHEMBL142009,COc1cc2c(cc1OC)CN(C(=O)[C@@H](NCc1ccncc1)C(C)(C)C)CC2,7.3979400086720375,<rdkit.Chem.rdchem.Mol object at 0x1767b23b0>,True,6,397.5190000000002,3.1880000000000015,1,5,63.690000000000005,0.8110833678105231
4,CHEMBL343786,COc1cc2c(cc1OC)CN(C(=O)[C@@H](NCc1ccsc1)C(C)(C)C)CC2,7.455931955649724,<rdkit.Chem.rdchem.Mol object at 0x1767b2420>,True,6,402.5600000000002,3.8545000000000025,1,5,50.800000000000004,0.7972989632181781
5,CHEMBL139634,COc1cc2c(cc1OC)CN(C(=O)[C@@H](NCc1cccnc1)C(C)(C)C)CC2,6.619788758288394,<rdkit.Chem.rdchem.Mol object at 0x1767b2490>,True,6,397.5190000000002,3.1880000000000015,1,5,63.690000000000005,0.8110833678105231
7,CHEMBL140547,COc1cc2c(cc1OC)CN(C(=O)[C@@H](NCc1cccn1C)C(C)(C)C)CC2,7.552841968657781,<rdkit.Chem.rdchem.Mol object at 0x1767b2570>,True,6,399.5350000000002,3.131500000000001,1,4,55.730000000000004,0.8108945041881264
13,CHEMBL344622,COc1cc2c(cc1OC)CN(C(=O)[C@@H](NCc1cccs1)C(C)(C)C)CC2,7.6020599913279625,<rdkit.Chem.rdchem.Mol object at 0x1767b2650>,True,6,402.5600000000002,3.8545000000000025,1,5,50.800000000000004,0.7972989632181781
15,CHEMBL337367,COc1cc2c(cc1OC)CN(C(=O)[C@H](Cc1ccccc1)NC(=O)c1ccccc1)CC2,6.709965388637482,<rdkit.Chem.rdchem.Mol object at 0x1767b26c0>,True,7,444.5310000000001,3.629800000000002,1,4,67.87,0.604393538460471
19,CHEMBL139083,COc1cc2c(cc1OC)CN(C(=O)C(Cc1ccccc1)C(C)(C)C)CC2,7.251811972993799,<rdkit.Chem.rdchem.Mol object at 0x1767b2730>,True,5,381.51600000000013,4.4935000000000045,0,3,38.77,0.765736669082372
23,CHEMBL444602,COc1cc2c(cc1OC)CN(C(=O)[C@@H](NCc1nccs1)C(C)(C)C)CC2,7.229147988357855,<rdkit.Chem.rdchem.Mol object at 0x1767b27a0>,True,6,403.5480000000002,3.249500000000002,1,6,63.690000000000005,0.8021707376089108
27,CHEMBL140348,COc1cc2c(cc1OC)CN(C(=O)[C@@H](NCc1ccccc1)C(C)(C)C)CC2,6.886056647693163,<rdkit.Chem.rdchem.Mol object at 0x1767b2810>,True,6,396.5310000000002,3.793000000000003,1,4,50.800000000000004,0.8071019374165044
29,CHEMBL455137,CCN(CC)C(=O)CN(c1ccc(C)cc1)S(=O)(=O)c1ccc(C(C)(C)C)cc1,8.301029995663981,<rdkit.Chem.rdchem.Mol object at 0x1767b2880>,True,7,416.5870000000002,4.356220000000004,0,3,57.690000000000005,0.6739303465137758
